{1598210369313991}, {11666.140000}, {7.283257}, {11666.150000}, {0.299142}
{1598210369330895}, {11666.140000}, {7.283257}, {11666.150000}, {0.299142}
{1598210369749681}, {11666.140000}, {7.295257}, {11666.150000}, {0.299142}
{1598210370205635}, {11666.140000}, {7.295257}, {11666.150000}, {0.298684}
{1598210370218889}, {11666.140000}, {7.274257}, {11666.150000}, {0.298684}
{1598210370226635}, {11666.140000}, {7.257257}, {11666.150000}, {0.298684}
{1598210370226664}, {11666.140000}, {7.235257}, {11666.150000}, {0.298684}
{1598210370229398}, {11666.140000}, {7.216257}, {11666.150000}, {0.298684}
{1598210370229424}, {11666.140000}, {7.190257}, {11666.150000}, {0.298684}
{1598210370229479}, {11666.140000}, {7.096457}, {11666.150000}, {0.298684}
{1598210370229507}, {11666.140000}, {7.058457}, {11666.150000}, {0.298684}
{1598210370229524}, {11666.140000}, {7.018557}, {11666.150000}, {0.298684}
{1598210370229563}, {11666.140000}, {6.982557}, {11666.150000}, {0.298684}
{1598210370231056}, {11666.140000}, {6.962557}, {11666.150000}, {0.298684}
{1598210370231542}, {11666.140000}, {6.950557}, {11666.150000}, {0.298684}
{1598210370238222}, {11666.140000}, {6.972557}, {11666.150000}, {0.298684}
{1598210370253420}, {11666.140000}, {6.994557}, {11666.150000}, {0.298684}
{1598210370253445}, {11666.140000}, {7.088357}, {11666.150000}, {0.298684}
{1598210370253456}, {11666.140000}, {7.105357}, {11666.150000}, {0.298684}
{1598210370253465}, {11666.140000}, {7.131357}, {11666.150000}, {0.298684}
{1598210370253473}, {11666.140000}, {7.150357}, {11666.150000}, {0.298684}
{1598210370253481}, {11666.140000}, {7.190257}, {11666.150000}, {0.298684}
{1598210370253489}, {11666.140000}, {7.226257}, {11666.150000}, {0.298684}
{1598210370253498}, {11666.140000}, {7.264257}, {11666.150000}, {0.298684}
{1598210370253506}, {11666.140000}, {7.286257}, {11666.150000}, {0.298684}
